vs_name,vs_id,ftm_name,ftm_id 
western organization of resource councils,2060,Western Organization Of Resource Councils,27617867
western organization of resource councils,2060,Western Organization Of Resource Councils,39485889
elect educators everywhere,3292,Elect Educators Everywhere,51886225
libertyslate,1927,TimeoutException,TimeoutException
j street pac,2221,TimeoutException,TimeoutException
defenders of wildlife action fund,109,Defenders Of Wildlife Action Fund 527 Account,44113955
veterans and military families for progress,1909,TimeoutException,TimeoutException
aapi victory fund,2532,Aapi Victory Fund,40813066
aapi victory fund,2532,Aapi Victory Fund,43842514
international warehouse logistics association,1695,International Warehouse Logistics Association,18927420
international warehouse logistics association,1695,International Warehouse Logistics Association,42876594
international warehouse logistics association,1695,International Warehouse Logistics Association,49404256
independence caucus,1925,Independence Caucus,200866
the woman activist,671,TimeoutException,TimeoutException
congressional black caucus pac,2505,Congressional Black Caucus Pac Cbc,42481224
american wind energy association,1702,American Wind Energy Association,9985
votevets,2509,Votevets,230352
votevets,2509,Votevets,55496026
moms in office,3127,Moms In Office,49836453
partnership for america,1716,Partnership For America,18928741
partnership for america,1716,Partnership For America,27715478
partnership for america,1716,Partnership For America,41691828
christian coalition of america,1467,Christian Coalition Of America,11250185
christian coalition of america,1467,Christian Coalition Of America,39503352
christian coalition of america,1467,Christian Coalition Of America,41698481
christian coalition of america,1467,Christian Coalition Of America,54916994
national association of government contractors,138,TimeoutException,TimeoutException
american veterans,1456,American Veterans,39503936
american veterans,1456,American Veterans,44766079
national lumber and building material dealers association,1788,TimeoutException,TimeoutException
st joseph health system,1713,St Joseph Health System,10655231
st joseph health system,1713,St Joseph Health System,24576771
st joseph health system,1713,St Joseph Health System,32041355
st joseph health system,1713,St Joseph Health System,380339
church world service,1751,Church World Service,44627266
church world service,1751,Church World Service,53846223
church world service,1751,Church World Service,54822664
national association of realtors,2297,National Association Of Realtors,1823
national association of realtors,2297,National Association Of Realtors,55400104
national cannabis industry association,2863,National Cannabis Industry Association,24724785
national cannabis industry association,2863,National Cannabis Industry Association,26793289
national cannabis industry association,2863,National Cannabis Industry Association,47207976
associated equipment distributors,1789,Associated Equipment Distributors,2781623
value in electing women political action committee view pac,2647,TimeoutException,TimeoutException
association of university centers on disabilities,1793,Association Of University Centers On Disabilities,39488654
women employed,1860,Women Employed,27698111
women employed,1860,Women Employed,3250088
the evolution institute,2451,TimeoutException,TimeoutException
conservative review,2412,Texas Conservative Review,44813394
national association of home builders,2559,National Association Of Home Builders,1821
moms demand action for gun sense,2485,Moms Demand Action For Gun Sense,27714101
alliance for headache disorders advocacy,1777,TimeoutException,TimeoutException
republican liberty caucus,88,Republican Liberty Caucus,10244597
republican liberty caucus,88,Republican Liberty Caucus,10704656
republican liberty caucus,88,Republican Liberty Caucus,11055461
republican liberty caucus,88,Republican Liberty Caucus,11270538
republican liberty caucus,88,Republican Liberty Caucus,16755873
republican liberty caucus,88,Republican Liberty Caucus,1817488
republican liberty caucus,88,Republican Liberty Caucus,2002766
republican liberty caucus,88,Republican Liberty Caucus,20363931
republican liberty caucus,88,Republican Liberty Caucus,24865843
republican liberty caucus,88,Republican Liberty Caucus,37064237
republican liberty caucus,88,Republican Liberty Caucus,38431755
republican liberty caucus,88,Republican Liberty Caucus,38606598
republican liberty caucus,88,Republican Liberty Caucus,44645095
republican liberty caucus,88,Republican Liberty Caucus,7593920
republican liberty caucus,88,Republican Liberty Caucus,8874029
republican liberty caucus,88,Republican Liberty Caucus,9954740
americans for immigration control,1382,Americans For Immigration Control,5766
national association of manufacturers,504,National Association Of Manufacturers,2553378
future now fund,2900,Future Now Fund,44002605
population action international,412,Population Action International,39486085
americans for democratic action ada,978,Americans For Democratic Action-Ada,4890116
americans for democratic action ada,978,Americans For Democratic Action-Ada St Louis Chapter,4916036
americans for democratic action ada,978,Americans For Democratic Action-Pac (Ada),39125531
americans for fair taxation,1862,Americans For Fair Taxation,1623608
americans for fair taxation,1862,Americans For Fair Taxation,37938650
national parks conservation association,922,National Parks Conservation Association,8005
catholic advocate,2086,Catholic Advocate,29423934
family policy alliance,2368,Family Policy Alliance,41580670
family policy alliance,2368,Family Policy Alliance,47666354
family policy alliance,2368,Family Policy Alliance,47721197
family policy alliance,2368,Family Policy Alliance,47780517
family policy alliance,2368,Family Policy Alliance,49094509
family policy alliance,2368,Family Policy Alliance,53410803
family policy alliance,2368,Family Policy Alliance,54045659
boots of recovery,2915,TimeoutException,TimeoutException
people for the american way,846,People For The American Way,2014
national institute for reproductive health action fund,2819,National Institute For Reproductive Health Action Fund Inc,55441311
national institute for reproductive health action fund,2819,National Institute For Reproductive Health Action Fund Inc,55443058
national institute for reproductive health action fund,2819,National Institute For Reproductive Health Action Fund Inc,55444270
national institute for reproductive health action fund,2819,National Institute For Reproductive Health Action Fund Inc,55554529
service employees international union seiu,149,Service Employees International Union Seiu,54955839
capa21,2496,Capa21-Federal Qualified Multicandidate Committee,52492689
capa21,2496,Capa21-Limited,49657215
the lugar center,2566,TimeoutException,TimeoutException
goproud,1977,"Goproud, Inc",39005514
goproud,1977,Inc Goproud,44124727
leap forward,2867,TimeoutException,TimeoutException
united steelworkers,2058,United Steelworkers,48838589
united steelworkers,2058,United Steelworkers,50165188
american postal workers union,858,American Postal Workers Union,48532170
american workers coalition,3025,TimeoutException,TimeoutException
the center for education reform,2183,TimeoutException,TimeoutException
usa engage,970,TimeoutException,TimeoutException
seal pac,3071,Seal Pac,35943043
ufcw united food and commercial workers,463,TimeoutException,TimeoutException
naral pro choice america,1016,Naral Pro Choice America,52954768
national latino congresowilliam c velasquez institute,1934,TimeoutException,TimeoutException
armenian national committee of america,1420,Armenian National Committee Of America,39486129
armenian national committee of america,1420,Armenian National Committee Of America,44821984
americans for the arts action fund,1425,Americans For The Arts Action Fund,43661563
open doors usa,2023,TimeoutException,TimeoutException
earthrights international,2418,TimeoutException,TimeoutException
hispanic federation lclaa lulac mi familia vota nclr and voto latino,2322,TimeoutException,TimeoutException
pflag parents families and friends of lesbians and gays,1764,TimeoutException,TimeoutException
american hospital association,1922,American Hospital Association,142
environment america,1826,Environment America,18928252
environment america,1826,Environment America,32374197
environment america,1826,Environment America,37489211
environment america,1826,Environment America,39525822
the american legion,559,The American Legion,39486709
catholic families usa,1904,TimeoutException,TimeoutException
progressive punch,2167,TimeoutException,TimeoutException
united states womens chamber of commerce,319,TimeoutException,TimeoutException
courage to change,2967,Courage To Change,48007845
united electrical radio and machine workers,1660,TimeoutException,TimeoutException
faith and freedom coalition,2025,TimeoutException,TimeoutException
american road transportation builders association,1558,American Road & Transportation Builders Association,1659108
national association for addiction professionals formerly national association of alcohol and drug abuse counselors,1703,TimeoutException,TimeoutException
campaign for americas future,1359,Campaign For Americas Future,470
let america vote,2704,Let America Vote,43767072
progressive action pac congressional progressive caucus,2347,Progressive Action Pac Papac Congressional Progressive Caucus,45132689
lgbtq victory fund,1971,Lgbtq Victory Fund,48334566
lgbtq victory fund,1971,Lgbtq Victory Fund,49745838
american unity fund,3121,American Unity Fund,27682802
american unity fund,3121,American Unity Fund,31633748
american unity fund,3121,American Unity Fund,39502195
american unity fund,3121,American Unity Fund,41835746
american unity fund,3121,American Unity Fund,43860168
american unity fund,3121,American Unity Fund,55439492
blue america,2665,Blue America,18928136
blue america,2665,Blue America,27894556
blue america,2665,Blue America,44116424
blue america,2665,Blue America,720516
national retail federation nrf,471,TimeoutException,TimeoutException
newdems action fund,2346,TimeoutException,TimeoutException
national religious campaign against torture action fund,2024,TimeoutException,TimeoutException
national taxpayers union,872,National Taxpayers Union,10795115
national taxpayers union,872,National Taxpayers Union,39177191
national taxpayers union,872,National Taxpayers Union,43697247
national taxpayers union,872,National Taxpayers Union,47665207
national taxpayers union,872,National Taxpayers Union,5126277
american society for the prevention of cruelty to animals,324,American Society For The Prevention Of Cruelty To Animals,47721189
american society for the prevention of cruelty to animals,324,American Society For The Prevention Of Cruelty To Animals,47753874
american society for the prevention of cruelty to animals,324,American Society For The Prevention Of Cruelty To Animals,50033054
american society for the prevention of cruelty to animals,324,American Society For The Prevention Of Cruelty To Animals,53799788
american society for the prevention of cruelty to animals,324,American Society For The Prevention Of Cruelty To Animals,54822925
american society for the prevention of cruelty to animals,324,American Society For The Prevention Of Cruelty To Animals,54917054
american society for the prevention of cruelty to animals,324,American Society For The Prevention Of Cruelty To Animals,55441608
american society for the prevention of cruelty to animals,324,American Society For The Prevention Of Cruelty To Animals,55443371
american society for the prevention of cruelty to animals,324,American Society For The Prevention Of Cruelty To Animals,55444601
american society for the prevention of cruelty to animals,324,American Society For The Prevention Of Cruelty To Animals,55554822
american society for the prevention of cruelty to animals,324,American Society For The Prevention Of Cruelty To Animals,5760
citizens united political victory fund,1959,Citizens United Political Victory Fund,28186074
off the sidelines,2979,Off The Sidelines,17802067
off the sidelines,2979,Off The Sidelines,52424118
american society for radiation oncology,1831,American Society For Radiation Oncology Pac Aka Astro Pac,24769141
american society for radiation oncology,1831,American Society For Radiation Oncology Pac Astropac,48010062
american society for radiation oncology,1831,American Society For Radiation Oncology Pac Castro,45247991
american society for radiation oncology,1831,American Society For Radiation Oncology Political Action Committee Aka Astro Pac,26789334
american society for radiation oncology,1831,American Society For Radiation Oncology- Astro Pac,24785844
american society for radiation oncology,1831,American Society For Therapeutic Radiation Oncology,24725512
american society for radiation oncology,1831,Astro American Society For Radiation Oncology Pac Aka Astro Pac,29114885
rightnow women pac,2340,TimeoutException,TimeoutException
national association of wholesale distributors,2809,National Association Of Wholesale-Distributors Pac Naw,46922501
national association of wholesale distributors,2809,National Association Of Wholesaler-Distributors,1826
national association of wholesale distributors,2809,National Association Of Wholesaler-Distributors Pa,44183666
national association of wholesale distributors,2809,National Association Of Wholesaler-Distributors Politial Action Committee,48914270
national association of wholesale distributors,2809,National Association Of Wholesaler-Distributors Political Ac,45120328
national association of wholesale distributors,2809,Naw Pac-National Association Of Wholesaler-Distributors,45560625
national federation of independent business nfib,933,National Federation Of Independent Business Nfib,48115540
national federation of independent business nfib,933,National Federation Of Independent Business Nfib,54466036
protect patients now,1275,TimeoutException,TimeoutException
citizens for global solutions,329,Citizens For Global Solutions,3562456
american federation of musicians,3110,American Federation Of Musicians,41695122
american federation of musicians,3110,American Federation Of Musicians,45593585
national hispanic leadership agenda,330,TimeoutException,TimeoutException
national education association,1015,National Education Association,1834
the population institute,131,TimeoutException,TimeoutException
citizens for tax justice,1672,Citizens For Tax Justice,39487925
emergency committee for american trade,1937,Emergency Committee For American Trade,39487660
american college of emergency physicians,373,American College Of Emergency Physicians,119
american college of emergency physicians,373,American College Of Emergency Physicians,27623223
american college of emergency physicians,373,American College Of Emergency Physicians,27631674
american college of emergency physicians,373,American College Of Emergency Physicians,32220651
american college of emergency physicians,373,American College Of Emergency Physicians,48331589
american college of emergency physicians,373,American College Of Emergency Physicians,48331597
american college of emergency physicians,373,American College Of Emergency Physicians,48331598
american college of emergency physicians,373,American College Of Emergency Physicians,48331614
american college of emergency physicians,373,American College Of Emergency Physicians,48842879
indian american impact fund,2681,Indian American Impact Fund,45149459
every voice,2589,Every Voice,27851212
national treasury employees union,2495,National Treasury Employees Union / Nteu,1862
march on,2664,March On,47242306
march on,2664,March On,54447211
march on,2664,March On,55493863
organization of iranian communities us,2542,TimeoutException,TimeoutException
brady campaign to prevent gun violence,122,Brady Campaign To Prevent Gun Violence,402
alzheimers impact movement,2028,Alzheimers Impact Movement,17761817
maggies list,1930,Maggies List,18928316
maggies list,1930,Maggies List,50261846
retire safe,591,Nevada Alliance For Retired Public Safety Officers,37938478
retire safe,591,Nw Safe Retirements,26267071
retire safe,591,Public Safety Personnel Retirement Sys,27640457
retire safe,591,Public Safety Personnel Retirement System,53412676
retire safe,591,Public Safety Personnel Retirement System (Psprs),27722197
retire safe,591,Retire Safe Pac,6086184
peoples policy project,3173,Peoples Policy Project,48143830
government is not god political action committee ging pac,2199,TimeoutException,TimeoutException
catholicvoteorg,2658,TimeoutException,TimeoutException
consumer energy alliance,1867,Consumer Energy Alliance,27711595
consumer energy alliance,1867,Consumer Energy Alliance,39503503
consumer energy alliance,1867,Consumer Energy Alliance,41698616
consumer energy alliance,1867,Consumer Energy Alliance,44971497
consumer energy alliance,1867,Consumer Energy Alliance,47664974
consumer energy alliance,1867,Consumer Energy Alliance,49678613
consumer energy alliance,1867,Consumer Energy Alliance,49679398
consumer energy alliance,1867,Consumer Energy Alliance,53845510
consumer energy alliance,1867,Consumer Energy Alliance,54466409
consumer energy alliance,1867,Consumer Energy Alliance,54858692
consumer energy alliance,1867,Consumer Energy Alliance,55559223
national trust for historic preservation,1060,National Trust For Historic Preservation,5067699
race forward formerly known as applied research center,1816,TimeoutException,TimeoutException
aids united,1380,Harlem United Community Aids Center,24752975
aids united,1380,Harlem United Community Aids Center Inc,55441073
aids united,1380,Harlem United Community Aids Center Inc,55442815
aids united,1380,Harlem United Community Aids Center Inc,55444020
aids united,1380,Harlem United Community Aids Center Inc,55554304
aids united,1380,Harlem United Community Aids Center Inc Harlem United Community Aids Center Inc,55510412
aids united,1380,Homeowners & Tenants United Sponsored By Aids Healthcare Foundation,50168806
aids united,1380,"Yes On 21 - Renters & Homeowners United To Keep Families In Theri Homes, Sponsored By Aids Healthcare Foundation",50821535
aids united,1380,"Yes On 21-Renters & Homeowners United To Keep Families In Their Homes, Sponsored By Aids Healthcare Foundation",53397084
aids united,1380,"Yes On 21-Renters & Homeowners United To Keep Families In Theri Homes, Sponsored By Aids Healthcare Foundation",53936562
norml national organization for the reform of marijuana laws,599,National Organization For The Reform Of Marijuana Laws (Norml Pac),36766032
norml national organization for the reform of marijuana laws,599,Wyoming National Organization For The Reform Of Marijuana Laws (Norml),35748361
matriarch,3004,Matriarch,49658269
national council of agricultural employers,1705,National Council Of Agricultural Employers,39487231
giffords,2645,Giffords,10049663
giffords,2645,Giffords,50170631
giffords,2645,Giffords,52371443
giffords,2645,Giffords,53795970
giffords,2645,Giffords,53796811
giffords,2645,Giffords,53797034
giffords,2645,Giffords,53798055
giffords,2645,Giffords,53799884
giffords,2645,Giffords,53801308
giffords,2645,Giffords,54852430
giffords,2645,Giffords,54857477
giffords,2645,Giffords,54858782
giffords,2645,Giffords,54880709
giffords,2645,Giffords,54901388
giffords,2645,Giffords,55398460
giffords,2645,Giffords,55399945
giffords,2645,Giffords,55441037
giffords,2645,Giffords,55442782
giffords,2645,Giffords,55443986
giffords,2645,Giffords,55554266
giffords,2645,Giffords,55559319
giffords,2645,Giffords,55560206
giffords,2645,Giffords,55561166
concord coalition,810,Concord Coalition,10783644
concord coalition,810,Concord Coalition,10972789
concord coalition,810,Concord Coalition,2495518
the northeast regional council of carpenters,2572,TimeoutException,TimeoutException
national right to life committee,252,National Right To Life State Political Committee,55493865
small business entrepreneurship council,1294,Small Business & Entrepreneurship Council (Sbe Council),39486645
susan b anthony list,1946,Susan B Anthony List,2522
susan b anthony list,1946,Susan B Anthony List,45142812
susan b anthony list,1946,Susan B Anthony List,48340838
susan b anthony list,1946,Susan B Anthony List,49679120
susan b anthony list,1946,Susan B Anthony List,53846013
susan b anthony list,1946,Susan B Anthony List,54859228
susan b anthony list,1946,Susan B Anthony List,54881041
susan b anthony list,1946,Susan B Anthony List,55559785
care in action,3290,Care In Action,47025316
care in action,3290,Care In Action,54256197
flip the senate,2973,Bollier Kelly Greenfield Challengers Flip The Senate,49873566
transportation communications union,847,Transportation Communications International Union / Iam,39486263
transportation communications union,847,Transportation Communications International Union / Tciu,19573
international alliance of theatrical stage employees,2492,International Alliance Of Theatrical Stage Employees,55126547
united to end genocide formerly known as the save darfur coalition and genocide intervention network,1292,TimeoutException,TimeoutException
us campaign for palestinian rights,125,TimeoutException,TimeoutException
run for something,2630,Run For Something,44005061
run for something,2630,Run For Something,48115952
american institute of aeronautics and astronautics,828,TimeoutException,TimeoutException
united farm workers of america,2056,United Farm Workers Of America / Ufw,89196
conservamerica,664,Conservamerica,24728337
conservamerica,664,Conservamerica,28305549
business and professional women usa,143,TimeoutException,TimeoutException
the american geriatrics society,1843,TimeoutException,TimeoutException
j street,1962,J Street,10724790
j street,1962,J Street,39507196
j street,1962,J Street,42073400
cnet news,1918,TimeoutException,TimeoutException
women for the win,3057,TimeoutException,TimeoutException
progressive change campaign committee pccc,2151,Progressive Change Campaign Committee Pccc,45567384
national border patrol council,2668,National Border Patrol Council,39500643
drum major institute,750,TimeoutException,TimeoutException
national school boards association,1417,National School Boards Association,43618452
workplace choice,2319,TimeoutException,TimeoutException
leadership now project,3133,TimeoutException,TimeoutException
social media today,2126,TimeoutException,TimeoutException
international union of painters and allied trades iupat,3115,TimeoutException,TimeoutException
food and water action fund,2705,TimeoutException,TimeoutException
the network for public education action,2196,TimeoutException,TimeoutException
new american leaders action fund,3035,New American Leaders Action Fund,47242969
new american leaders action fund,3035,New American Leaders Action Fund,47283291
americas opportunity fund,2511,Americas Opportunity Fund,3016936
americas opportunity fund,2511,Americas Opportunity Fund,36653756
americas opportunity fund,2511,Americas Opportunity Fund,40811930
american lands alliance,934,Working Lands Alliance C / O American Farmlan,27654475
american lands alliance,934,Working Lands Alliance C / O American Farmland Trust,27656628
english first,74,English First,41710685
american seniors association,3091,American Seniors Association,38199959
one fair wage,3107,One Fair Wage,53899460
one fair wage,3107,One Fair Wage,54910238
one fair wage,3107,One Fair Wage,54910575
one fair wage,3107,One Fair Wage,55509920
fund her,2717,Fund Her,44597521
fund her,2717,Fund Her,55493857
association for supervision and curriculum development,1810,TimeoutException,TimeoutException
emilys list,1189,Emilys List,904
aids drug assistance program advocacy association,1932,TimeoutException,TimeoutException
democratic freedom caucus,2455,TimeoutException,TimeoutException
international federation of professional and technical engineers ifpte,3055,TimeoutException,TimeoutException
us term limits ustl,2155,Us Term Limits Ustl,54491906
international association of fire fighters,1056,International Association Of Fire Fighters,49325863
international association of fire fighters,1056,International Association Of Fire Fighters,49803102
international association of fire fighters,1056,International Association Of Fire Fighters,50271628
sister district project,2785,Sister District Project,43995200
sister district project,2785,Sister District Project,50648045
republican majority campaign pac,1912,TimeoutException,TimeoutException
united fresh produce association,1762,United Fresh Produce Association,9244902
american immigration lawyers association,1542,American Immigration Lawyers Association,28755039
american immigration lawyers association,1542,American Immigration Lawyers Association,28761466
american immigration lawyers association,1542,American Immigration Lawyers Association,39488083
raising our future pac,2659,TimeoutException,TimeoutException
numbersusa,1985,Numbersusa,41694185
pro israel america,3284,Pro Israel America,48556572
traditional values coalition,1671,Traditional Values Coalition,1272524
traditional values coalition,1671,Traditional Values Coalition,39486909
the coalition to stop gun violence,1620,The Coalition To Stop Gun Violence,39486597
eating disorders coalition,2864,Eating Disorders Coalition (Fka Eating Disorders Campaign),39501298
workplace fairness,40,Job Creators For Workplace Fairness,47235571
workplace fairness,40,Job Creators For Workplace Fairness,47919376
great america alliance,2653,Great America Alliance,44579522
color of change pac,3218,TimeoutException,TimeoutException
clinicians for progressive care,2680,TimeoutException,TimeoutException
zero hour,3019,TimeoutException,TimeoutException
planned parenthood action fund,1578,Action Fund Planned Parenthood,44000213
planned parenthood action fund,1578,Planned Parenthood Action Fund Of Central North Carolina,48644627
planned parenthood action fund,1578,Planned Parenthood Action Fund Of Massachusetts,53177776
planned parenthood action fund,1578,Planned Parenthood Action Fund Of Nj,43689208
planned parenthood action fund,1578,Planned Parenthood Action Fund Of S,42082176
planned parenthood action fund,1578,Planned Parenthood Action Fund Of T,42074055
planned parenthood action fund,1578,Planned Parenthood Action Fund Pac Dba Planned Parenthood,46308352
planned parenthood action fund,1578,Planned Parenthood Action Fund-Pacific Sw,53397682
planned parenthood action fund,1578,Planned Parenthood Adv Project La County Action Fund,53393831
planned parenthood action fund,1578,Planned Parenthood Advocacy Project L A Co Action Fund,44597260
national employment lawyers association,1813,National Employment Lawyers Association,6970882
brand new congress,3001,Brand New Congress,44195630
brand new congress,3001,Brand New Congress,45016134
brand new congress,3001,Brand New Congress,48116206
brand new congress,3001,Brand New Congress,49657149
voter protection project,3027,Voter Protection Project,48002095
voter protection project,3027,Voter Protection Project,50166201
voter protection project,3027,Voter Protection Project,54256227
american family association,1497,American Family Association,9955
american federation of government employees,1598,American Federation Of Government Employees / Afge,134
vote kids,1970,Kids Vote,10744747
vote kids,1970,Vote Kids Action Fund,17622916
vote kids,1970,Vote Kids Action Fund,27973168
vote kids,1970,Vote Kids Action Fund,44129163
vote kids,1970,Vote Kids Action Fundc / O Paul Friedman,26790715
vote kids,1970,Vote Yes On 3 For Kids,41757267
vote kids,1970,Vote Yes-St Paul Kids / Strong Schools,47288280
our revolution,2560,Our Revolution,43510884
our revolution,2560,Our Revolution,44106927
our revolution,2560,Our Revolution,46058927
our revolution,2560,Our Revolution,48136780
national committee to preserve social security and medicare,271,TimeoutException,TimeoutException
vets for freedom pac vff pac,1976,Vets For Freedom Pac (Vff-Pac),24776592
concerned women for america,134,Concerned Women For America,11309
freedom first society,2866,TimeoutException,TimeoutException
feminist majority equality political action committee,1906,TimeoutException,TimeoutException
american academy of family physicians,1778,American Academy Of Family Physicians,10772570
bold democrats chc bold pac,2512,TimeoutException,TimeoutException
center for security policy,725,Center For Security Policy,27682645
center for security policy,725,Center For Security Policy,28462654
global aids alliance,424,TimeoutException,TimeoutException
progressive patriots fund,1834,Progressive Patriots Fund,1294217
progressive patriots fund,1834,Progressive Patriots Fund,1330931
progressive patriots fund,1834,Progressive Patriots Fund,789719
americans united for the separation of church and state,793,TimeoutException,TimeoutException
national committee for an effective congress,240,National Committee For An Effective Congress,20815072
international association of machinists and aerospace workers,735,TimeoutException,TimeoutException
democratic socialists of america,3015,Democratic Socialists Of America,32435
democratic socialists of america,3015,Democratic Socialists Of America,46043549
democratic socialists of america,3015,Democratic Socialists Of America,5317838
higher heights for america pac,2898,TimeoutException,TimeoutException
tobacco free kids action fund,2826,American Cancer Society Cancer Action Network Inc American Cancer Society Cancer Action Network Inc Tobacco-Free Kids Action Fund,55511365
tobacco free kids action fund,2826,American Cancer Society Cancer Action Network Inc Tobacco-Free Kids Action Fund,55441970
tobacco free kids action fund,2826,National Center For Tobacco Free Kids Action Fund,41707655
tobacco free kids action fund,2826,Thies & Grenell Llc Tobacco-Free Kids Action Fund,55512004
tobacco free kids action fund,2826,Tobacco-Free Kids Action Fund,16588
tobacco free kids action fund,2826,Tobacco-Free Kids Action Fund,54465454
tobacco free kids action fund,2826,Tobacco-Free Kids Action Fund,54465660
tobacco free kids action fund,2826,Tobacco-Free Kids Action Fund,55126746
tobacco free kids action fund,2826,Tobacco-Free Kids Action Fund,55443431
tobacco free kids action fund,2826,Tobacco-Free Kids Action Fund,55444659
humanity forward,3041,Humanity Forward,50238835
humanity forward,3041,Humanity Forward,52431602
humanity forward,3041,Humanity Forward,53399005
business industry political action committee bipac,747,Business Industry Political Action Committee (Bipac),24789643
business industry political action committee bipac,747,Business Industry Political Action Committee -- Bipac,24790317
business industry political action committee bipac,747,Business-Industry Political Action Committee (Bipac),37292294
family research council frc action,2231,TimeoutException,TimeoutException
national nurses united,2335,California Nurses Association / National Nurses Organizing Committee-Colorado / National Nurses United,27704642
national nurses united,2335,National Nurses United Action Fund,48131428
national nurses united,2335,National Nurses United Apc-A Fund For A Healthy America,45935338
national nurses united,2335,National Nurses United Federal,44994718
national nurses united,2335,National Nurses United For Patient Protections,42700909
national nurses united,2335,National Nurses United Fund For A Healthy America,48124539
national nurses united,2335,National Nurses United Fund For A Healthy America,48138258
national nurses united,2335,National Nurses United Nnu,42437714
national nurses united,2335,National Nurses United Nnu Pac-Fund For Healthy America,44008677
national nurses united,2335,National Nurses United Pac For Healthy America,42832214
hope for peace and justice,1743,TimeoutException,TimeoutException
unite here,2534,Unite Here,53402979
american federation of teachers,873,American Federation Of Teachers,50151136
american federation of teachers,873,American Federation Of Teachers,50605026
american federation of teachers,873,American Federation Of Teachers,52330994
the cornucopia institute,2865,TimeoutException,TimeoutException
american medical association pac,1500,American Medical Rehabilitation Providers Association Pac Amrpa,47017954
american medical association pac,1500,American Medical Rehabilitation Providers Association Pac-Amrpa,48005834
american medical association pac,1500,American Pediatric Medical Association Pac (Apma),29115061
american medical association pac,1500,Amrpa American Medical Rehabilitation Providers Association Pac Amrpa,48572313
american medical association pac,1500,Apma Pac-American Podiatric Medical Association,46238547
international association of heat and frost insulators and allied workers hfiaw,3132,TimeoutException,TimeoutException
democrats work for america,3065,Democrats Work For America Inc,48122875
independent petroleum association of america,2439,Independent Petroleum Association Of America,17745521
independent petroleum association of america,2439,Independent Petroleum Association Of America,24791661
independent petroleum association of america,2439,Independent Petroleum Association Of America,39485665
desis for progress,2917,TimeoutException,TimeoutException
republican jewish coalition,3000,Republican Jewish Coalition,2210
sunrise movement,2804,Sunrise Movement,45841418
sunrise movement,2804,Sunrise Movement,45893877
maga coalition,2621,Oklahoma Maga Coalition,53973071
republican national coalition for life pac,1954,Republican National Coalition For Life Pac,37260328
black to the future action fund,2965,Black To The Future Action Fund,47156674
winning for women,2667,Winning For Women,11575578
winning for women,2667,Winning For Women,17175
winning for women,2667,Winning For Women,45100054
conservative congress,1963,Conservative American Network Delivering Increased Congressional Excecellence Pac,24791407
conservative congress,1963,Conservative American Network Delivering Increased Congressional Excellence (Candice-Pac),18928613
conservative congress,1963,Conservative American Network Delivering Increased Congressional Excellence (Candicepac),24787192
conservative congress,1963,Conservative American Network Delivering Increased Congressional Excellence Pac,29270837
conservative congress,1963,Conservative Congress Now!,43130522
conservative congress,1963,Conservative National Committee (Fka-Congressional Majority Committee),18926972
conservative congress,1963,Conservatives For Congress Committee,44129185
conservative congress,1963,Harris County Conservative Congressional Campaign,11785100
council for a livable world,101,Council For A Livable World,1575848
republican main street partnership,2349,Republican Main Street Partnership,15464
council on american islamic relations,1364,Council On American Islamic Relations Ca Pac (Cair-Ca Pac),22382741
council on american islamic relations,1364,Council On American Islamic Relations California,22214882
council on american islamic relations,1364,Council On American Islamic Relations California Pac,22426281
council on american islamic relations,1364,Council On American Islamic Relations-Cair California Pac,13474581
council on american islamic relations,1364,Council On American-Islamic Relations,23919
council on american islamic relations,1364,Council On American-Islamic Relations,44702491
council on american islamic relations,1364,Council On American-Islamic Relations Cair-Oregon,50021824
council on american islamic relations,1364,Council On American-Islamic Relations La,48552698
council on american islamic relations,1364,Council On American-Islamic Relations-Az,49427892
council on american islamic relations,1364,Council On American-Islamic Relations-Dfw,44814403
federation for american immigration reform,300,Federation For American Immigration Reform,6746
united auto workers,1268,Texas United Automobile Workers Uaw Cap,54592346
united auto workers,1268,United Auto Workers Cap,53784372
united auto workers,1268,United Auto Workers Region & Western States,53396615
united auto workers,1268,United Auto Workers Region 8 Southwestern States,52978786
united auto workers,1268,United Auto Workers Region 8 Western States Pac Uaw,53396456
united auto workers,1268,United Auto Workers Tennessee,53095556
united auto workers,1268,United Auto Workers V-Cap,52969248
united auto workers,1268,United Auto Workers V-Cap,53893291
united auto workers,1268,"United Auto Workers, Local 862",53520166
united auto workers,1268,"United Auto Workers, Local 862",53846035
the childrens health fund,1791,The Childrens Health Fund,27625015
campaign for working families,1086,Campaign For Working Families,471
long term care community coalition,2883,Long Term Care Community Coalition,24673340
long term care community coalition,2883,Long Term Care Community Coalition,55441239
long term care community coalition,2883,Long Term Care Community Coalition,55442980
long term care community coalition,2883,Long Term Care Community Coalition,55444183
long term care community coalition,2883,Long Term Care Community Coalition,55554457
americans for tax reform,745,Americans For Tax Reform,784735
united states student association,1373,United States Student Association,37701868
united states student association,1373,United States Student Association,6333019
plastics industry association,3092,Plastics Industry Association,44012296
plastics industry association,3092,Plastics Industry Association,55509925
national youth advocacy coalition,639,TimeoutException,TimeoutException
american energy alliance,2526,American Energy Alliance,18929544
american benefits council,991,American Benefits Council,17761360
american benefits council,991,American Benefits Council,24766437
taxpayers united of america,2276,TimeoutException,TimeoutException
